Species,Beginning Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs mobilized,TEs static,TEs in Exons,TEs in Non-Coding,Exon New Size,Non-Coding New Size,Total Genome Growth,Simulation Rounds,Total Time
Mus_musculus_129s1svimj.129S1_SvImJ_v1.112,2732657393,0,42781249,42781250,2732657393,1000,499780,500220,7805,491975,82538421,5173202075,2523083103,1000,0.6856794357299805
Mus_musculus_aj.A_J_v1.112,2629979094,0,42700951,42700952,2629979094,1000,500711,499289,8199,492512,84397052,5073891460,2528309418,1000,0.6695966720581055
Mus_musculus_akrj.AKR_J_v1.112,2712691254,0,42761193,42761194,2712691254,1000,499900,500100,7995,491905,83213935,5154071608,2524594289,1000,0.7523624897003174
Mus_musculus_balbcj.BALB_cJ_v1.112,2627327954,0,42763126,42763127,2627327954,1000,499454,500546,8059,491395,83154491,5065225509,2521052046,1000,0.7409119606018066
Mus_musculus_c3hhej.C3H_HeJ_v1.112,2701115015,0,42821681,42821682,2701115015,1000,500000,500000,7865,492135,82580220,5141893132,2523358337,1000,0.67067551612854
Mus_musculus_c57bl6nj.C57BL_6NJ_v1.112,2806783987,0,43398817,43398818,2806783987,1000,500907,499093,7599,493308,81576884,5253436063,2528228960,1000,0.6952345371246338
Mus_musculus_casteij.CAST_EiJ_v1.112,2653974351,0,42177767,42177768,2653974351,1000,499281,500719,7901,491380,82094824,5092744968,2520865441,1000,0.658289909362793
Mus_musculus_cbaj.CBA_J_v1.112,2921711655,0,43065072,43065073,2921711655,1000,500786,499214,7277,493509,79878190,5371018372,2529184907,1000,0.6576709747314453
Mus_musculus_dba2j.DBA_2J_v1.112,2606145858,0,42642916,42642917,2606145858,1000,500156,499844,8101,492055,83446557,5047826649,2525127348,1000,0.6643154621124268
Mus_musculus_fvbnj.FVB_NJ_v1.112,2588602990,0,42417080,42417081,2588602990,1000,500006,499994,8048,491958,83174439,5030552433,2525123882,1000,0.7455143928527832
Mus_musculus.GRCm39.112,2728222451,0,54875524,54875525,2728222451,1000,500768,499232,10001,490767,105391656,5151321376,2528490581,1000,0.6427655220031738
Mus_musculus_lpj.LP_J_v1.112,2730782202,0,42681632,42681633,2730782202,1000,500697,499303,7909,492788,82863095,5173117796,2525198689,1000,0.7160615921020508
Mus_musculus_nodshiltj.NOD_ShiLtJ_v1.112,2982046949,0,43262486,43262487,2982046949,1000,499784,500216,7428,492356,80695386,5424446105,2523094542,1000,0.664517879486084
Mus_musculus_nzohlltj.NZO_HlLtJ_v1.112,2699250994,0,43152940,43152941,2699250994,1000,500490,499510,8109,492381,83972491,5140871478,2525592975,1000,0.6476478576660156
Mus_musculus_pwkphj.PWK_PhJ_v1.112,2559971091,0,42080785,42080786,2559971091,1000,499257,500743,8213,491044,83684620,4997608123,2521321652,1000,0.6898186206817627
Mus_musculus_wsbeij.WSB_EiJ_v1.112,2689641256,0,42544852,42544853,2689641256,1000,499690,500310,7928,491762,82418674,5128448848,2521226266,1000,0.6613340377807617
Mus_pahari.PAHARI_EIJ_v1.1.112,2475012951,0,39056838,39056839,2475012951,1000,499617,500383,7922,491695,79135587,4920385087,2524507723,1000,0.7558436393737793
Mus_spicilegus.MUSP714.112,2496083520,0,5011686,5011687,2496083520,1000,500772,499228,997,499775,9971998,5013684833,2527573311,1000,0.6431686878204346
Mus_spretus.SPRET_EiJ_v1.112,2625571169,0,41719517,41719518,2625571169,1000,499529,500471,8001,491528,81913557,5063581221,2519923609,1000,0.6814923286437988
Mustela_putorius_furo.MusPutFur1.0.112,2410758013,0,13382619,13382620,2410758013,1000,500186,499814,2795,497391,27658219,4910107516,2527007722,1000,0.7038328647613525
Myotis_lucifugus.Myoluc2.0.112,2034575300,0,6563922,6563923,2034575300,1000,500070,499930,1697,498373,15053025,4543493688,2523971413,1000,0.7227644920349121
Myripristis_murdjan.fMyrMur1.1.112,835254674,0,18551907,18551908,835254674,1000,498547,501453,11185,487362,75154624,3276568082,2516468032,1000,0.6941797733306885
Naja_naja.Nana_v5.112,1768535092,0,17771536,17771537,1768535092,1000,499878,500122,5398,494480,45109359,4245899674,2522473941,1000,0.7196519374847412
Nannospalax_galili.S.galili_v1.0.112,3061408210,0,6366444,6366445,3061408210,1000,499721,500279,1036,498685,11604914,5571530720,2521727424,1000,0.7134013175964355
Neogobius_melanostomus.RGoby_Basel_V2.112,1003738541,0,7951568,7951569,1003738541,1000,500153,499847,4215,495938,29422610,3498026742,2523710811,1000,0.6806015968322754
Neolamprologus_brichardi.NeoBri1.0.112,847910432,0,8920652,8920653,847910432,1000,500667,499333,5259,495408,35640944,3339399499,2527130011,1000,0.6806111335754395
Neovison_vison.NNQGG.v01.112,2447205843,0,8938378,8938379,2447205843,1000,499770,500230,1771,497999,17892365,4950829826,2521516348,1000,0.69779372215271
Nomascus_leucogenys.Nleu_3.0.112,2962060179,0,21606813,21606814,2962060179,1000,499869,500131,3702,496167,40206380,5445032084,2523178285,1000,0.6977694034576416
Notamacropus_eugenii.Meug_1.0.112,2955773937,0,292157,292158,2955773937,1000,499548,500452,57,499491,589100,5475039978,2519855141,1000,0.7729346752166748
Notechis_scutatus.TS10Xv2-PRI.112,1665525958,0,7383113,7383114,1665525958,1000,499939,500061,2278,497661,18834513,4170286232,2523594787,1000,0.7042069435119629
Nothobranchius_furzeri.Nfu_20140520.112,1242518059,0,19664731,19664732,1242518059,1000,500179,499821,8165,492014,60921783,3705419922,2523823646,1000,0.700930118560791
Nothoprocta_perdicaria.notPer1.112,965904370,0,5044530,5044531,965904370,1000,500747,499253,2426,498321,17124308,3477597084,2528817022,1000,0.724449634552002
Numida_meleagris.NumMel1.0.112,1043264150,0,17125422,17125423,1043264150,1000,498834,501166,8063,490771,57998996,3501816375,2516551221,1000,0.7463390827178955
Ochotona_princeps.OchPri2.0-Ens.112,4781903803,0,1012954,1012955,4781903803,1000,500436,499564,115,500321,1578657,7307722926,2527397780,1000,0.7285451889038086
Octodon_degus.OctDeg1.0.112,2995872505,0,10538368,10538369,2995872505,1000,499329,500671,1760,497569,19462315,5497616939,2521206749,1000,0.6456577777862549
Oncorhynchus_kisutch.Okis_V2.112,2375894934,0,41225285,41225286,2375894934,1000,499262,500738,8791,490471,85493253,4812001822,2521600141,1000,0.7028360366821289
Oncorhynchus_mykiss.USDA_OmykA_1.1.112,2341671972,0,43163758,43163759,2341671972,1000,499340,500660,9352,489988,90755256,4773534458,2522617742,1000,0.7211427688598633
Oncorhynchus_tshawytscha.Otsh_v2.0.112,2294859190,0,46601617,46601618,2294859190,1000,499958,500042,10110,489848,97709399,4720176233,2523026442,1000,0.8698818683624268
Ornithorhynchus_anatinus.mOrnAna1.p.v1.112,1858552590,0,20893044,20893045,1858552590,1000,500314,499686,5865,494449,50280235,4334268917,2525996562,1000,0.7719831466674805
Oryctolagus_cuniculus.OryCun2.0.112,2737490501,0,19633526,19633527,2737490501,1000,500305,499695,3610,496695,37995326,5222249917,2522754742,1000,1.0533924102783203
Oryzias_javanicus.OJAV_1.1.112,809679899,0,19706399,19706400,809679899,1000,499561,500439,12160,487401,80889283,3250498415,2521707799,1000,0.7189033031463623
Oryzias_latipes.ASM223467v1.112,734057086,0,21798936,21798937,734057086,1000,500418,499582,14910,485508,97129535,3162228995,2525301444,1000,0.677746057510376
Oryzias_latipes_hni.ASM223471v1.112,677633405,0,20773044,20773045,677633405,1000,500333,499667,15392,484941,98343261,3105329732,2526039588,1000,0.6853349208831787
Oryzias_latipes_hsok.ASM223469v1.112,744414398,0,21802027,21802028,744414398,1000,498813,501187,14441,484372,94678540,3165658452,2515922594,1000,0.6823396682739258
Oryzias_melastigma.Om_v0.7.RACA.112,779452910,0,18937379,18937380,779452910,1000,499915,500085,12589,487326,82186362,3217740217,2520473669,1000,0.9927365779876709
Oryzias_sinensis.ASM858656v1.112,813986518,0,4290999,4291000,813986518,1000,500153,499847,2929,497224,18874037,3318327201,2523214720,1000,0.800703763961792
Otolemur_garnettii.OtoGar3.112,2519404493,0,11270868,11270869,2519404493,1000,499971,500029,2227,497744,22526787,5020321591,2523443885,1000,0.7254624366760254
Otus_sunia.OtuSun1.0.112,1231433939,0,11006177,11006178,1231433939,1000,499837,500163,4625,495212,34508150,3719247135,2522321346,1000,0.7090935707092285
Ovis_aries.Oar_v3.1.112,2619054388,0,20509782,20509783,2619054388,1000,499788,500212,3957,495831,40441643,5101864959,2523252214,1000,0.7715528011322021
Ovis_aries_rambouillet.ARS-UI_Ramb_v2.0.112,2628146905,0,41098451,41098452,2628146905,1000,500102,499898,7592,492510,79298775,5073626792,2524778662,1000,0.7668073177337646
Pan_paniscus.panpan1.1.112,3286643896,0,26129673,26129674,3286643896,1000,499988,500012,4098,495890,46878564,5763242720,2523477388,1000,0.7638866901397705
Panthera_leo.PanLeo1.0.112,2406807619,0,17580757,17580758,2406807619,1000,500391,499609,3889,496502,37137492,4896384437,2526714310,1000,0.7257285118103027
Panthera_pardus.PanPar1.0.112,2578019207,0,14877837,14877838,2578019207,1000,499677,500323,2800,496877,28899535,5069216309,2520096637,1000,0.66115403175354
Panthera_tigris_altaica.PanTig1.0.112,2391065193,0,9368388,9368389,2391065193,1000,499638,500362,1874,497764,18765778,4897529252,2525229837,1000,0.6486036777496338
Pan_troglodytes.Pan_tro_3.0.112,3231170666,0,30200052,30200053,3231170666,1000,500506,499494,4627,495879,53717620,5704029517,2526576471,1000,0.6930310726165771
Papio_anubis.Panubis1.0.112,2869821163,0,23607052,23607053,2869821163,1000,500303,499697,4127,496176,44605908,5350004169,2524788914,1000,0.6650340557098389
Parambassis_ranga.fParRan2.2.112,551012959,0,17305945,17305946,551012959,1000,499610,500390,15750,483860,97057700,2976338278,2522383019,1000,0.8568820953369141
Paramormyrops_kingsleyae.PKINGS_0.1.112,799421083,0,4887739,4887740,799421083,1000,500246,499754,3075,497171,20421262,3305017447,2526017626,1000,0.6811888217926025
Parus_major.Parus_major1.1.112,1020310768,0,16214406,16214407,1020310768,1000,500044,499956,8047,491997,57037792,3487503491,2524230515,1000,0.7124390602111816
Pavo_cristatus.AIIM_Pcri_1.0.112,1027510962,0,1223952,1223953,1027510962,1000,500911,499089,599,500312,4215871,3550304150,2527009059,1000,1.00437331199646
Pelodiscus_sinensis.PelSin_1.0.112,2202483752,0,6207881,6207882,2202483752,1000,500330,499670,1548,498782,14080069,4713100584,2524696901,1000,0.9583508968353271
Pelusios_castaneus.Pelusios_castaneus-1.0.112,2044278682,0,11517750,11517751,2044278682,1000,500373,499627,2779,497594,25325015,4545553499,2526599832,1000,0.9559834003448486
Periophthalmus_magnuspinnatus.fPerMag1.2.pri.112,701696780,0,17468699,17468700,701696780,1000,499951,500049,12481,487470,80830087,3143771555,2522904862,1000,0.7573451995849609
Peromyscus_maniculatus_bairdii.HU_Pman_2.1.112,2512423440,0,16251347,16251348,2512423440,1000,499399,500601,3168,496231,32374891,5001045639,2520997090,1000,0.7231283187866211
Petromyzon_marinus.Pmarinus_7.0.112,885550958,0,810961,810962,885550958,1000,499379,500621,520,498859,3436952,3403025424,2520911418,1000,0.6122181415557861
Phascolarctos_cinereus.phaCin_unsw_v4.1.112,3192581492,0,12746627,12746628,3192581492,1000,499877,500123,1986,497891,22802191,5693556949,2523777648,1000,0.7125539779663086
Phasianus_colchicus.ASM414374v1.112,1017507340,0,10321228,10321229,1017507340,1000,499942,500058,4841,495101,34777468,3508478387,2525748515,1000,0.9135258197784424
Phocoena_sinus.mPhoSin1.pri.112,2371524154,0,23976642,23976643,2371524154,1000,500516,499484,5063,495453,49543966,4847573622,2525593434,1000,0.9060819149017334
Physeter_catodon.ASM283717v2.112,2512132974,0,16799572,16799573,2512132974,1000,499710,500290,3225,496485,32983395,4999816524,2520666945,1000,0.6429345607757568
Piliocolobus_tephrosceles.ASM277652v2.112,3038007327,0,12188020,12188021,3038007327,1000,499790,500210,2068,497722,22701406,5537946500,2522640579,1000,0.6736781597137451
Podarcis_muralis.PodMur_1.0.112,1511002858,0,21451670,21451671,1511002858,1000,500433,499567,7161,493272,57289795,3978766767,2525053704,1000,0.6271829605102539
Poecilia_formosa.PoeFor_5.1.2.112,748923461,0,4988352,4988353,748923461,1000,499741,500259,3239,496502,21256386,3248552821,2520885746,1000,0.6677169799804688
Poecilia_latipinna.P_latipinna-1.0.112,815144743,0,1057404,1057405,815144743,1000,500186,499814,587,499599,4076679,3335551434,2524483370,1000,0.6306600570678711
Poecilia_mexicana.P_mexicana-1.0.112,801711499,0,1084881,1084882,801711499,1000,499870,500130,626,499244,4268542,3321538026,2524095069,1000,0.6992282867431641
Poecilia_reticulata.Guppy_female_1.0_MT.112,731622281,0,17533187,17533188,731622281,1000,498550,501450,12344,486206,79962075,3168637861,2516977655,1000,0.7021679878234863
Pogona_vitticeps.pvi1.1.112,1816116151,0,5392266,5392267,1816116151,1000,500342,499658,1464,498878,12674528,4327459747,2524018124,1000,0.6782677173614502
Pongo_abelii.Susie_PABv2.112,3065052215,0,23679399,23679400,3065052215,1000,500628,499372,4031,496597,44327813,5547630376,2526905974,1000,0.7222912311553955
Procavia_capensis.proCap1.112,2993339806,0,443624,443625,2993339806,1000,499982,500018,89,499893,921144,5516459676,2524041014,1000,0.6923754215240479
Prolemur_simus.Prosim_1.0.112,2411593676,0,4764696,4764697,2411593676,1000,500185,499815,1049,499136,9980148,4925923577,2524310049,1000,0.6425192356109619
Propithecus_coquereli.Pcoq_1.0.112,2798152141,0,8252502,8252503,2798152141,1000,499901,500099,1467,498434,15676099,5303540020,2521063978,1000,0.6833488941192627
Pseudonaja_textilis.EBS10Xv2-PRI.112,1590035073,0,11235385,11235386,1590035073,1000,499963,500037,3464,496499,28904702,4085894684,2524764313,1000,0.7038528919219971
Pteropus_vampyrus.pteVam1.112,1999614463,0,869750,869751,1999614463,1000,499622,500378,233,499389,2074911,4520910843,2523371291,1000,0.6804671287536621
Pundamilia_nyererei.PunNye1.0.112,830133247,0,6029706,6029707,830133247,1000,499956,500044,3582,496374,24199442,3329493595,2523559790,1000,0.6498770713806152
Pygocentrus_nattereri.fPygNat1.pri.112,1222050449,0,24593094,24593095,1222050449,1000,499692,500308,10303,489389,76405388,3668736315,2523091254,1000,0.6592183113098145
Rattus_norvegicus.mRatBN7.2.112,2647915728,0,33793953,33793954,2647915728,1000,500030,499970,6393,493637,66010299,5105045244,2523139815,1000,0.6446075439453125
Rattus_norvegicus_shrspbbbutx.UTH_Rnor_SHRSP_BbbUtx_1.0.112,2907517304,0,32350739,32350740,2907517304,1000,498712,501288,5558,493154,60318620,5364925330,2517726646,1000,0.8232662677764893
Rattus_norvegicus_shrutx.UTH_Rnor_SHR_Utx.112,2866391611,0,32246732,32246733,2866391611,1000,499243,500757,5626,493617,60795307,5326671296,2521074992,1000,0.8394043445587158
Rattus_norvegicus_wkybbb.UTH_Rnor_WKY_Bbb_1.0.112,2910747220,0,32263909,32263910,2910747220,1000,499881,500119,5381,494500,59306630,5377799753,2526359163,1000,0.9681034088134766
Rhinolophus_ferrumequinum.mRhiFer1_v1.p.112,2075768562,0,20546708,20546709,2075768562,1000,501123,498877,4737,496386,44501707,4558916153,2527649298,1000,0.6751899719238281
Rhinopithecus_bieti.ASM169854v1.112,2977074946,0,5559500,5559501,2977074946,1000,499706,500294,981,498725,10506192,5488816107,2522247353,1000,0.777604341506958
Rhinopithecus_roxellana.Rrox_v1.112,2899552139,0,4610485,4610486,2899552139,1000,499641,500359,783,498858,8619555,5413759810,2522827226,1000,0.697946310043335
Saccharomyces_cerevisiae.R64-1-1.112,12157105,0,1223104,1223105,12157105,1000,500528,499472,48037,452491,244144815,2295515849,2527503559,1000,0.7931957244873047
Saimiri_boliviensis_boliviensis.SaiBol1.0.112,2608588537,0,16585160,16585161,2608588537,1000,499640,500360,3197,496443,32813837,5095717203,2519942503,1000,0.730151891708374
Salarias_fasciatus.fSalaFa1.1.112,797490645,0,19076674,19076675,797490645,1000,500193,499807,11952,488241,79551803,3241307991,2523369149,1000,0.7116134166717529
Salmo_salar_gca021399835v1.USDA_NASsal_1.1.112,2829823532,0,59384502,59384503,2829823532,1000,500550,499450,10268,490282,111242940,5246287720,2527707128,1000,0.6523027420043945
Salmo_salar_gca923944775v1.Ssal_Brian_v1.0.112,2624445891,0,57469129,57469130,2624445891,1000,500411,499589,11106,489305,113739046,5037142619,2526435774,1000,0.8587291240692139
Salmo_salar_gca931346935v2.Ssal_ALTA.112,2621787693,0,29844728,29844729,2621787693,1000,499618,500382,5629,493989,58250323,5083217905,2519680535,1000,1.057690143585205
Salmo_salar.Ssal_v3.1.112,2756584103,0,66842282,66842283,2756584103,1000,499416,500584,12192,487224,128769512,5149019677,2521205086,1000,0.9824938774108887
Salmo_trutta.fSalTru1.1.112,2371880186,0,39645154,39645155,2371880186,1000,500912,499088,8545,492367,82764910,4820800059,2531684783,1000,1.1438565254211426
Salvator_merianae.HLtupMer3.112,2026218827,0,15389654,15389655,2026218827,1000,499919,500081,3854,496065,34811893,4514755684,2523348750,1000,0.7457659244537354
Sander_lucioperca.SLUC_FBN_1.112,900477767,0,9623286,9623287,900477767,1000,500433,499567,5250,495183,36014457,3390142375,2525679065,1000,0.6267497539520264
Sarcophilus_harrisii.mSarHar1.11.112,3086674442,0,40745451,40745452,3086674442,1000,500454,499546,6626,493828,74099840,5537183253,2524608651,1000,0.7957172393798828
Sciurus_vulgaris.mSciVul1.1.112,2878591032,0,19749273,19749274,2878591032,1000,499612,500388,3296,496316,36538536,5361091606,2519039110,1000,1.0255780220031738
Scleropages_formosus.fSclFor1.1.112,784546363,0,22375518,22375519,784546363,1000,499248,500752,14259,484989,94471128,3210244092,2520168857,1000,0.7148749828338623
Scophthalmus_maximus.ASM1334776v1.112,556696898,0,17664653,17664654,556696898,1000,500125,499875,16132,483993,99308313,2981327595,2523939010,1000,0.6716668605804443
Serinus_canaria.SCA1.112,1152083301,0,12148853,12148854,1152083301,1000,499776,500224,5289,494487,38984334,3636701450,2523602483,1000,0.6315183639526367
Seriola_dumerili.Sdu_1.0.112,677686174,0,11293326,11293327,677686174,1000,500802,499198,8192,492610,52641740,3153243833,2528199399,1000,0.6369376182556152
Seriola_lalandi_dorsalis.Sedor1.112,732509836,0,4599492,4599493,732509836,1000,500404,499596,3090,497314,20214466,3239463782,2527168412,1000,0.6142187118530273
Sinocyclocheilus_anshuiensis.SAMN03320099.WGS_v1.1.112,1632718266,0,4205240,4205241,1632718266,1000,500265,499735,1382,498883,11172943,4146125797,2524580474,1000,0.670759916305542
Sinocyclocheilus_grahami.SAMN03320097.WGS_v1.1.112,1750287761,0,4779614,4779615,1750287761,1000,500404,499596,1325,499079,11454207,4263940653,2525107099,1000,0.6332478523254395
Sinocyclocheilus_rhinocerous.SAMN03320098_v1.1.112,1655786410,0,3512192,3512193,1655786410,1000,500918,499082,996,499922,8504158,4174577762,2527295510,1000,0.6358983516693115
Sorex_araneus.COMMON_SHREW1.112,2944193050,0,546855,546856,2944193050,1000,499590,500410,94,499496,1022255,5465399193,2522228398,1000,0.6848819255828857
Sparus_aurata.fSpaAur1.1.112,833578411,0,21994164,21994165,833578411,1000,500347,499653,13194,487153,88679433,3270056293,2525157315,1000,0.6492552757263184
Spermophilus_dauricus.ASM240643v1.112,3106271744,0,4114630,4114631,3106271744,1000,499946,500054,638,499308,7263658,5622676836,2523668750,1000,0.6506505012512207
Sphaeramia_orbicularis.fSphaOr1.1.112,1342662642,0,21229636,21229637,1342662642,1000,500472,499528,8102,492370,61819474,3807080344,2526237176,1000,0.6876044273376465
Sphenodon_punctatus.ASM311381v1.112,4272214985,0,5935996,5935997,4272214985,1000,499972,500028,690,499282,9354970,6786423090,2523563075,1000,0.6655724048614502
Stachyris_ruficeps.ASM869450v1.112,1041446934,0,11324357,11324358,1041446934,1000,499010,500990,5655,493355,39816204,3520801150,2519170420,1000,0.6407580375671387
Stegastes_partitus.Stegastes_partitus-1.0.2.112,800491834,0,1760338,1760339,800491834,1000,500568,499432,1140,499428,7467128,3321108470,2528083764,1000,0.6869809627532959
Strigops_habroptila.bStrHab1_v1.p.112,1165621973,0,21322108,21322109,1165621973,1000,500060,499940,9321,490739,68497595,3623828501,2526704123,1000,0.6299817562103271
Strix_occidentalis_caurina.Soccid_v01.112,1255541132,0,5407716,5407717,1255541132,1000,499426,500574,2184,497242,16587946,3760022922,2521069736,1000,0.6320452690124512
Struthio_camelus_australis.ASM69896v1.112,1225041896,0,6053848,6053849,1225041896,1000,500454,499546,2419,498035,18370521,3732261916,2525590541,1000,0.6220993995666504
Suricata_suricatta.meerkat_22Aug2017_6uvM2_HiC.112,2353578744,0,22686455,22686456,2353578744,1000,500124,499876,4804,495320,46804806,4831560827,2524786889,1000,0.6387186050415039
Sus_scrofa_bamei.Bamei_pig_v1.112,2460755741,0,5255132,5255133,2460755741,1000,500723,499277,1037,499686,10496645,4979158246,2528899150,1000,0.6295030117034912
Sus_scrofa_berkshire.Berkshire_pig_v1.112,2434706773,0,5316462,5316463,2434706773,1000,500535,499465,1112,499423,10915272,4949589469,2525797968,1000,0.6643345355987549
Sus_scrofa_hampshire.Hampshire_pig_v1.112,2437109612,0,5381287,5381288,2437109612,1000,499978,500022,1050,498928,10764256,4949552176,2523206820,1000,0.6448132991790771
Sus_scrofa_jinhua.Jinhua_pig_v1.112,2453702738,0,5153952,5153953,2453702738,1000,500702,499298,1019,499683,10258356,4971681196,2528236814,1000,0.8525369167327881
Sus_scrofa_landrace.Landrace_pig_v1.112,2440981886,0,4653207,4653208,2440981886,1000,499078,500922,875,498203,9079095,4949798296,2517895505,1000,0.6396117210388184
Sus_scrofa_largewhite.Large_White_v1.112,2457907103,0,6235643,6235644,2457907103,1000,499594,500406,1312,498282,12862853,4967359363,2522315113,1000,0.74737548828125
Sus_scrofa_meishan.Meishan_pig_v1.112,2467495771,0,4075203,4075204,2467495771,1000,500090,499910,828,499262,8354858,4984196206,2525055293,1000,0.7452332973480225
Sus_scrofa_pietrain.Pietrain_pig_v1.112,2438316299,0,5138864,5138865,2438316299,1000,499939,500061,1115,498824,10709537,4950732445,2523125683,1000,0.6733577251434326
Sus_scrofa_rongchang.Rongchang_pig_v1.112,2459027728,0,6278473,6278474,2459027728,1000,500252,499748,1240,499012,12440592,4972005890,2525418754,1000,0.8410608768463135
Sus_scrofa.Sscrofa11.1.112,2501912388,0,51283099,51283100,2501912388,1000,500456,499544,10570,489886,104759919,4922514246,2525361777,1000,0.6500272750854492
Sus_scrofa_tibetan.Tibetan_Pig_v2.112,2437742524,0,2980170,2980171,2437742524,1000,499717,500283,617,499100,6074077,4952525890,2520857443,1000,0.6360909938812256
Sus_scrofa_usmarc.USMARCv1.0.112,2755438035,0,29469657,29469658,2755438035,1000,499964,500036,5449,494515,57036695,5222257359,2523856019,1000,0.651648759841919
Sus_scrofa_wuzhishan.minipig_v1.0.112,2508912457,0,11155353,11155354,2508912457,1000,500090,499910,2275,497815,22656712,5012089643,2525833898,1000,0.6240530014038086
Taeniopygia_guttata.bTaeGut1_v1.p.112,1057995280,0,28121815,28121816,1057995280,1000,499537,500463,13723,485814,97762002,3478214870,2517981592,1000,0.633289098739624
Takifugu_rubripes.fTakRub1.2.112,384110215,0,14974353,14974354,384110215,1000,499688,500312,19737,479951,114372352,2794088572,2524350709,1000,0.6118149757385254
Terrapene_carolina_triunguis.T_m_triunguis-2.0.112,2571267249,0,14563677,14563678,2571267249,1000,500205,499795,2760,497445,28557011,5068938593,2526228355,1000,0.6281909942626953
Tetraodon_nigroviridis.TETRAODON8.112,358618246,0,11839604,11839605,358618246,1000,500534,499466,16397,484137,94392401,2789099816,2524873971,1000,0.6372048854827881
Theropithecus_gelada.Tgel_1.0.112,2889614139,0,20296140,20296141,2889614139,1000,500645,499355,3537,497108,38148890,5376836569,2525371320,1000,0.6397631168365479
Tupaia_belangeri.TREESHREW.112,3670341392,0,960649,960650,3670341392,1000,499872,500128,144,499728,1685225,6190832992,2522176825,1000,0.6416339874267578
Tursiops_truncatus.turTru1.112,2521923936,0,1003344,1003345,2521923936,1000,499540,500460,199,499341,1987096,5040231071,2520294231,1000,0.6615123748779297
Urocitellus_parryii.ASM342692v1.112,2520505282,0,7168697,7168698,2520505282,1000,500452,499548,1458,498994,14409445,5033056155,2526960318,1000,0.6812393665313721
Ursus_americanus.ASM334442v1.112,2588393916,0,824719,824720,2588393916,1000,500208,499792,161,500047,1635824,5110037281,2523279189,1000,0.6679816246032715
Ursus_maritimus.UrsMar_1.0.112,2301379344,0,12077104,12077105,2301379344,1000,500402,499598,2637,497765,25296005,4800043828,2523960489,1000,0.7306792736053467
Ursus_thibetanus_thibetanus.ASM966005v1.112,2373594928,0,14267232,14267233,2373594928,1000,500816,499184,2962,497854,29195928,4873830493,2529431493,1000,0.745875358581543
Varanus_komodoensis.ASM479886v1.112,1507945839,0,13310133,13310134,1507945839,1000,501116,498884,4184,496932,34216085,4002182226,2528452472,1000,0.6980695724487305
Vicugna_pacos.vicPac1.112,2967746133,0,1702345,1702346,2967746133,1000,499441,500559,278,499163,3092717,5485148549,2520495133,1000,0.7311367988586426
Vombatus_ursinus.bare-nosed_wombat_genome_assembly.112,3486597218,0,16057534,16057535,3486597218,1000,499723,500277,2378,497345,28082000,5978637176,2520121958,1000,0.6815810203552246
Vulpes_vulpes.VulVul2.2.112,2421551259,0,14358348,14358349,2421551259,1000,499522,500478,2930,496592,29186384,4914011498,2521646623,1000,0.6452155113220215
Xenopus_tropicalis.UCB_Xtro_10.0.112,1451301209,0,34432895,34432896,1451301209,1000,500421,499579,11957,488464,95039804,3883430359,2527168954,1000,0.6529808044433594
Xiphophorus_couchianus.Xiphophorus_couchianus-4.0.1.112,708396389,0,11316915,11316916,708396389,1000,499832,500168,7654,492178,49645429,3182631931,2523880971,1000,0.6343381404876709
Xiphophorus_maculatus.X_maculatus-5.0-male.112,704321165,0,21434631,21434632,704321165,1000,500752,499248,15685,485067,100556719,3132556026,2528791580,1000,0.6330122947692871
Zalophus_californianus.mZalCal1.pri.112,2408641788,0,23793592,23793593,2408641788,1000,498737,501263,5035,493702,49283042,4876089332,2516730586,1000,0.637108325958252
Zonotrichia_albicollis.Zonotrichia_albicollis-1.0.1.112,1052600561,0,7335253,7335254,1052600561,1000,500807,499193,3430,497377,24683206,3555749357,2527832002,1000,0.625145673751831
Zosterops_lateralis_melanops.ASM128173v1.112,1036003386,0,5383517,5383518,1036003386,1000,499359,500641,2676,496683,18973291,3538646684,2521616589,1000,0.646320104598999
