Species,Genome_size,Positive Strand Range,Negative Strand Range,Average Range,Exon_to_genome_ratio
Stegastes_partitus.Stegastes_partitus-1.0.2.112,800491834,1805269,1715407,1760338,0.00219907052793246
Strigops_habroptila.bStrHab1_v1.p.112,1165621973,21679807,20964409,21322108,0.0182924725973744
Strix_occidentalis_caurina.Soccid_v01.112,1255541132,5354369,5461063,5407716,0.00430707992129723
Struthio_camelus_australis.ASM69896v1.112,1225041896,6097778,6009919,6053848,0.00494174772288768
Suricata_suricatta.meerkat_22Aug2017_6uvM2_HiC.112,2353578744,22708137,22664773,22686455,0.00963913149616718
Sus_scrofa_bamei.Bamei_pig_v1.112,2460755741,5165465,5344800,5255132,0.00213557644606548
Sus_scrofa_berkshire.Berkshire_pig_v1.112,2434706773,5283969,5348955,5316462,0.00218361490548168
Sus_scrofa_hampshire.Hampshire_pig_v1.112,2437109612,5447764,5314811,5381287,0.00220806112843808
Sus_scrofa_jinhua.Jinhua_pig_v1.112,2453702738,5145393,5162511,5153952,0.00210047937762867
Sus_scrofa_landrace.Landrace_pig_v1.112,2440981886,4627902,4678512,4653207,0.00190628493668388
Sus_scrofa_largewhite.Large_White_v1.112,2457907103,6226205,6245081,6235643,0.00253697261071791
Sus_scrofa_meishan.Meishan_pig_v1.112,2467495771,4067271,4083136,4075203,0.0016515541983476
Sus_scrofa_pietrain.Pietrain_pig_v1.112,2438316299,5143693,5134036,5138864,0.00210754609732443
Sus_scrofa_rongchang.Rongchang_pig_v1.112,2459027728,6289732,6267214,6278473,0.00255323391782429
Sus_scrofa.Sscrofa11.1.112,2501912388,52525908,50040291,51283099,0.0204975598849787
Sus_scrofa_tibetan.Tibetan_Pig_v2.112,2437742524,2930354,3029986,2980170,0.00122251220982516
Sus_scrofa_usmarc.USMARCv1.0.112,2755438035,30117729,28821586,29469657,0.0106950897191923
Sus_scrofa_wuzhishan.minipig_v1.0.112,2508912457,11132937,11177770,11155353,0.00444629025172878
Taeniopygia_guttata.bTaeGut1_v1.p.112,1057995280,28360008,27883622,28121815,0.0265802839876564
Takifugu_rubripes.fTakRub1.2.112,384110215,14999285,14949422,14974353,0.0389845216691256
Terrapene_carolina_triunguis.T_m_triunguis-2.0.112,2571267249,14364525,14762830,14563677,0.00566400750667361
Tetraodon_nigroviridis.TETRAODON8.112,358618246,11882373,11796835,11839604,0.0330145053467246
Theropithecus_gelada.Tgel_1.0.112,2889614139,20120411,20471870,20296140,0.00702382360539799
Tupaia_belangeri.TREESHREW.112,3670341392,978871,942428,960649,0.00026173287370321
Tursiops_truncatus.turTru1.112,2521923936,1011838,994850,1003344,0.000397848636779821
Urocitellus_parryii.ASM342692v1.112,2520505282,7197530,7139865,7168697,0.00284415075468983
Ursus_americanus.ASM334442v1.112,2588393916,821924,827515,824719,0.000318621904843019
Ursus_maritimus.UrsMar_1.0.112,2301379344,11919950,12234259,12077104,0.00524776761879201
Ursus_thibetanus_thibetanus.ASM966005v1.112,2373594928,14398359,14136106,14267232,0.00601081163078724
Varanus_komodoensis.ASM479886v1.112,1507945839,13264209,13356057,13310133,0.0088266651598221
Vicugna_pacos.vicPac1.112,2967746133,1711181,1693509,1702345,0.000573615438689547
Vombatus_ursinus.bare-nosed_wombat_genome_assembly.112,3486597218,16128093,15986976,16057534,0.0046055030151177
Vulpes_vulpes.VulVul2.2.112,2421551259,14375765,14340931,14358348,0.00592940081141599
Xenopus_tropicalis.UCB_Xtro_10.0.112,1451301209,34415154,34450636,34432895,0.0237255331880592
Xiphophorus_couchianus.Xiphophorus_couchianus-4.0.1.112,708396389,11227574,11406256,11316915,0.0159753990502061
Xiphophorus_maculatus.X_maculatus-5.0-male.112,704321165,21510297,21358966,21434631,0.0304330354746616
Zalophus_californianus.mZalCal1.pri.112,2408641788,23980476,23606709,23793592,0.00987842697014605
Zonotrichia_albicollis.Zonotrichia_albicollis-1.0.1.112,1052600561,7425546,7244961,7335253,0.00696869569690454
Zosterops_lateralis_melanops.ASM128173v1.112,1036003386,5301106,5465928,5383517,0.0051964279970027
